config,src_entity,tgt_entity,src_tier,tgt_tier,template_id,src_sentence,tgt_sentence,patch_layer,shift_neg,shift_pos,welfare_delta,direction,shift_suffering,baseline_suffering,patched_suffering,source_suffering,shift_distressed,baseline_distressed,patched_distressed,source_distressed,shift_afraid,baseline_afraid,patched_afraid,source_afraid,shift_hurt,baseline_hurt,patched_hurt,source_hurt,shift_fine,baseline_fine,patched_fine,source_fine,shift_healthy,baseline_healthy,patched_healthy,source_healthy,shift_unharmed,baseline_unharmed,patched_unharmed,source_unharmed,shift_calm,baseline_calm,patched_calm,source_calm
H→T5 (human→min-evidence),child,bee,T1,T5,T01,The child was in pain.,The bee was in pain.,0,-0.002489549545771297,-0.001589419132869807,-0.0009001304129014898,forward,-0.0046219223713706015,0.00464217783883214,2.02554674615385e-05,0.025364356115460396,-0.002155250622308813,0.002175744855776429,2.049423346761614e-05,0.003625645535066724,-0.0018309987281099893,0.0019503250950947404,0.00011932636698475108,0.0020983624272048473,-0.0013500264612957835,0.00147218257188797,0.00012215611059218645,0.0006251396262086928,-0.0005536565186048392,0.0006041824817657471,5.052596316090785e-05,0.006773597560822964,-0.0006024553258612286,0.0006381439161486924,3.568859028746374e-05,0.007919138297438622,-0.0030539417639374733,0.0040648262947797775,0.0010108845308423042,0.005703940987586975,-0.002147622923075687,0.002175744855776429,2.8121932700742036e-05,0.0022163125686347485
H→T5 (human→min-evidence),child,bee,T1,T5,T01,The child was in pain.,The bee was in pain.,0,-0.00789665396609962,-0.005369325718220352,-0.002527328247879268,reverse,-0.025339619038277306,0.025364356115460396,2.473707718309015e-05,0.00464217783883214,-0.003617163159105985,0.003625645535066724,8.482375960738864e-06,0.002175744855776429,-0.0020808896006201394,0.0020983624272048473,1.7472826584707946e-05,0.0019503250950947404,-0.0005489440663950518,0.0006251396262086928,7.619555981364101e-05,0.00147218257188797,-0.006641943444265053,0.006773597560822964,0.00013165411655791104,0.0006041824817657471,-0.007866359177569393,0.007919138297438622,5.277911986922845e-05,0.0006381439161486924,-0.004761071235407144,0.005703940987586975,0.0009428697521798313,0.0040648262947797775,-0.00220792901563982,0.0022163125686347485,8.383552994928323e-06,0.002175744855776429
H→T5 (human→min-evidence),child,bee,T1,T5,T01,The child was in pain.,The bee was in pain.,4,0.0007187148148659617,0.0018600210169097409,-0.0011413062020437792,forward,0.003350670915096998,0.00464217783883214,0.007992848753929138,0.025364356115460396,-0.00020165042951703072,0.002175744855776429,0.0019740944262593985,0.003625645535066724,-6.66310079395771e-05,0.0019503250950947404,0.0018836940871551633,0.0020983624272048473,-0.0002075302181765437,0.00147218257188797,0.0012646523537114263,0.0006251396262086928,0.002806746866554022,0.0006041824817657471,0.003410929348319769,0.006773597560822964,0.0027199037722311914,0.0006381439161486924,0.0033580476883798838,0.007919138297438622,0.000597361009567976,0.0040648262947797775,0.0046621873043477535,0.005703940987586975,0.0013160724192857742,0.002175744855776429,0.0034918172750622034,0.0022163125686347485
H→T5 (human→min-evidence),child,bee,T1,T5,T01,The child was in pain.,The bee was in pain.,4,-0.0011568272748263553,0.0012520391319412738,-0.002408866406767629,reverse,-0.00360746867954731,0.025364356115460396,0.021756887435913086,0.00464217783883214,-0.0006580771878361702,0.003625645535066724,0.0029675683472305536,0.002175744855776429,-0.0003538189921528101,0.0020983624272048473,0.0017445434350520372,0.0019503250950947404,-7.944239769130945e-06,0.0006251396262086928,0.0006171953864395618,0.00147218257188797,0.005526632070541382,0.006773597560822964,0.012300229631364346,0.0006041824817657471,0.0006009815260767937,0.007919138297438622,0.008520119823515415,0.0006381439161486924,-0.0008493233472108841,0.005703940987586975,0.004854617640376091,0.0040648262947797775,-0.0002701337216421962,0.0022163125686347485,0.0019461788469925523,0.002175744855776429
H→T5 (human→min-evidence),child,bee,T1,T5,T01,The child was in pain.,The bee was in pain.,5,0.0009208303526975214,0.0023228206409839913,-0.0014019902882864699,forward,0.004384078551083803,0.00464217783883214,0.009026256389915943,0.025364356115460396,-0.00016171461902558804,0.002175744855776429,0.002014030236750841,0.003625645535066724,-0.0003570960834622383,0.0019503250950947404,0.001593229011632502,0.0020983624272048473,-0.00018194643780589104,0.00147218257188797,0.001290236134082079,0.0006251396262086928,0.003370024263858795,0.0006041824817657471,0.003974206745624542,0.006773597560822964,0.003795404627453536,0.0006381439161486924,0.004433548543602228,0.007919138297438622,0.0006546610966324806,0.0040648262947797775,0.004719487391412258,0.005703940987586975,0.0014711925759911537,0.002175744855776429,0.003646937431767583,0.0022163125686347485
H→T5 (human→min-evidence),child,bee,T1,T5,T01,The child was in pain.,The bee was in pain.,5,-0.0019013050332432613,0.0010424209176562726,-0.002943725950899534,reverse,-0.007813004776835442,0.025364356115460396,0.017551351338624954,0.00464217783883214,-0.0001424732618033886,0.003625645535066724,0.0034831722732633352,0.002175744855776429,0.0001859576441347599,0.0020983624272048473,0.0022843200713396072,0.0019503250950947404,0.00016430026153102517,0.0006251396262086928,0.000789439887739718,0.00147218257188797,0.004918122664093971,0.006773597560822964,0.011691720224916935,0.0006041824817657471,0.00017947889864444733,0.007919138297438622,0.008098617196083069,0.0006381439161486924,-0.0009430092759430408,0.005703940987586975,0.004760931711643934,0.0040648262947797775,1.5091383829712868e-05,0.0022163125686347485,0.0022314039524644613,0.002175744855776429
H→T5 (human→min-evidence),child,bee,T1,T5,T01,The child was in pain.,The bee was in pain.,7,0.0013444057549349964,0.002820223438902758,-0.0014758176839677617,forward,0.0058866157196462154,0.00464217783883214,0.010528793558478355,0.025364356115460396,1.4035496860742569e-05,0.002175744855776429,0.0021897803526371717,0.003625645535066724,-0.00034824758768081665,0.0019503250950947404,0.0016020775074139237,0.0020983624272048473,-0.0001747806090861559,0.00147218257188797,0.001297401962801814,0.0006251396262086928,0.003649834543466568,0.0006041824817657471,0.004254017025232315,0.006773597560822964,0.004953656054567546,0.0006381439161486924,0.005591799970716238,0.007919138297438622,0.0012709065340459347,0.0040648262947797775,0.005335732828825712,0.005703940987586975,0.001406496623530984,0.002175744855776429,0.003582241479307413,0.0022163125686347485
H→T5 (human→min-evidence),child,bee,T1,T5,T01,The child was in pain.,The bee was in pain.,7,-0.001878011054941453,0.00014877377543598413,-0.002026784830377437,reverse,-0.007471473887562752,0.025364356115460396,0.017892882227897644,0.00464217783883214,-0.0005883560515940189,0.003625645535066724,0.003037289483472705,0.002175744855776429,0.0003806010354310274,0.0020983624272048473,0.0024789634626358747,0.0019503250950947404,0.00016718468395993114,0.0006251396262086928,0.0007923243101686239,0.00147218257188797,0.002084021456539631,0.006773597560822964,0.008857619017362595,0.0006041824817657471,-4.1008926928043365e-05,0.007919138297438622,0.007878129370510578,0.0006381439161486924,-0.001319101545959711,0.005703940987586975,0.004384839441627264,0.0040648262947797775,-0.0001288158819079399,0.0022163125686347485,0.0020874966867268085,0.002175744855776429
H→T5 (human→min-evidence),child,bee,T1,T5,T01,The child was in pain.,The bee was in pain.,11,0.0015460447466466576,0.0017901804385473952,-0.00024413569190073758,forward,0.005381372291594744,0.00464217783883214,0.010023550130426884,0.025364356115460396,0.0003193139564245939,0.002175744855776429,0.002495058812201023,0.003625645535066724,0.0004304765025153756,0.0019503250950947404,0.002380801597610116,0.0020983624272048473,5.3016236051917076e-05,0.00147218257188797,0.001525198807939887,0.0006251396262086928,0.0021361035760492086,0.0006041824817657471,0.0027402860578149557,0.006773597560822964,0.002745657868217677,0.0006381439161486924,0.0033838017843663692,0.007919138297438622,0.0009361081756651402,0.0040648262947797775,0.005000934470444918,0.005703940987586975,0.001342852134257555,0.002175744855776429,0.003518596990033984,0.0022163125686347485
H→T5 (human→min-evidence),child,bee,T1,T5,T01,The child was in pain.,The bee was in pain.,11,-0.001101223359000869,-9.836358367465436e-05,-0.0010028597753262147,reverse,-0.004700258374214172,0.025364356115460396,0.020664097741246223,0.00464217783883214,-0.00033046724274754524,0.003625645535066724,0.0032951782923191786,0.002175744855776429,0.0005493878852576017,0.0020983624272048473,0.002647750312462449,0.0019503250950947404,7.644429570063949e-05,0.0006251396262086928,0.0007015839219093323,0.00147218257188797,0.0006522014737129211,0.006773597560822964,0.007425799034535885,0.0006041824817657471,0.0001730388030409813,0.007919138297438622,0.008092177100479603,0.0006381439161486924,-0.0009094849228858948,0.005703940987586975,0.00479445606470108,0.0040648262947797775,-0.0003092096885666251,0.0022163125686347485,0.0019071028800681233,0.002175744855776429
